Ab.,Nome,Linha,LAT,LONG
 AP ,Aeroporto, Vermelha ,38.76861111,9.128611111
 AM ,Alameda, Verde ,38.73333333,9.116944444
 AM ,Alameda, Vermelha ,38.73333333,9.133333333
 AF ,Alfornelos, Azul ,38.76027778,9.205
 AH ,Alto dos Moinhos, Azul ,38.74944444,9.179444444
 AL ,Alvalade, Verde ,38.75333333,9.143888889
 AS ,Amadora Este, Azul ,38.75777778,9.218055556
 AX ,Ameixoeira, Amarela ,38.77916667,9.16
 AN ,Anjos, Verde ,38.72611111,9.134722222
 AE ,Areeiro, Verde ,38.74222222,9.134166667
 AR ,Arroios, Verde ,38.73305556,9.133888889
 AV ,Avenida, Azul ,38.72,9.145833333
 BC ,Baixa-Chiado, Azul ,38.7,9.133333333
 BC ,Baixa-Chiado, Verde ,38.7,9.133333333
 BV ,Bela Vista, Vermelha ,38.74666667,9.116944444
 CR ,Cabo Ruivo, Vermelha ,38.7625,9.103888889
 CS ,Cais do Sodré, Verde ,38.70527778,9.1425
 CG ,Campo Grande, Amarela ,38.76,9.157777778
 CG ,Campo Grande, Verde ,38.76,9.157777778
 CP ,Campo Pequeno, Amarela ,38.74138889,9.146666667
 CA ,Carnide, Azul ,38.75861111,9.1925
 CH ,Chelas, Vermelha ,38.75416667,9.113611111
 CU ,Cidade Universitária, Amarela ,38.75166667,9.158611111
 CM ,Colégio Militar / Luz, Azul ,38.7525,9.188611111
 EN ,Encarnação, Vermelha ,38.77527778,9.102222222
 EC ,Entre Campos, Amarela ,38.74777778,9.148611111
 IN ,Intendente, Verde ,38.7225,9.135
 JZ ,Jardim Zoológico, Azul ,38.74194444,9.168611111
 LA ,Laranjeiras, Azul ,38.74805556,9.171944444
 LU ,Lumiar, Amarela ,38.77277778,9.159722222
 MP ,Marquês de Pombal, Azul ,38.72416667,9.149166667
 MP ,Marquês de Pombal, Amarela ,38.72472222,9.176944444
 MM ,Martim Moniz, Verde ,38.71694444,9.135555556
 MO ,Moscavide, Vermelha ,38.775,9.1025
 OD ,Odivelas, Amarela ,38.79305556,9.172777778
 OL ,Olaias, Vermelha ,38.73916667,9.123888889
 OS ,Olivais, Vermelha ,38.76,9.112222222
 OR ,Oriente, Vermelha ,38.76722222,9.100277778
 PA ,Parque, Azul ,38.72916667,9.15
 PI ,Picoas, Amarela ,38.73083333,9.146944444
 PO ,Pontinha, Azul ,38.76138889,9.196666667
 PE ,Praça de Espanha, Azul ,38.73722222,9.159444444
 QC ,Quinta das Conchas, Amarela ,38.76694444,9.155555556
 RA ,Rato, Amarela ,38.71972222,9.155555556
 RB ,Reboleira, Azul ,38.75222222,9.224722222
 RE ,Restauradores, Azul ,38.715,9.141388889
 RM ,Roma, Verde ,38.74888889,9.141388889
 RO ,Rossio, Verde ,38.71361111,9.138055556
 SA ,Saldanha, Amarela ,38.735,9.145
 SA ,Saldanha, Vermelha ,38.73527778,9.144166667
 SP ,Santa Apolónia, Azul ,38.7125,9.123333333
 SS ,São Sebastião, Azul ,38.73416667,9.153611111
 SS ,São Sebastião, Vermelha ,38.735,9.152222222
 SR ,Senhor Roubado, Amarela ,38.78555556,9.171111111
 TE ,Telheiras, Verde ,38.76055556,9.165
 TP ,Terreiro do Paço, Azul ,38.70638889,9.135277778
